Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Firearm,GRINJ-006,Unintentional,1,2 years,2,14,3611883,Unreliable
,Firearm,GRINJ-006,Unintentional,1,3 years,3,18,3747807,Unreliable
,Firearm,GRINJ-006,Unintentional,1,15 years,15,16,4472392,Unreliable
,Firearm,GRINJ-006,Unintentional,1,17 years,17,10,4395048,Unreliable
,Firearm,GRINJ-006,Unintentional,1,19 years,19,10,4384615,Unreliable
,Firearm,GRINJ-006,Suicide,2,12 years,12,15,4134024,Unreliable
,Firearm,GRINJ-006,Homicide,3,< 1 year,0,15,3648654,Unreliable
,Firearm,GRINJ-006,Homicide,3,1 year,1,12,3694222,Unreliable
,Firearm,GRINJ-006,Homicide,3,2 years,2,14,3611883,Unreliable
,Firearm,GRINJ-006,Homicide,3,3 years,3,17,3747807,Unreliable
,Firearm,GRINJ-006,Homicide,3,4 years,4,19,3808594,Unreliable
,Firearm,GRINJ-006,Homicide,3,5 years,5,17,3896077,Unreliable
,Firearm,GRINJ-006,Homicide,3,6 years,6,17,3972997,Unreliable
,Firearm,GRINJ-006,Homicide,3,7 years,7,18,4075558,Unreliable
,Firearm,GRINJ-006,Homicide,3,8 years,8,16,4110498,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,16 years,16,14,4465940,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,17 years,17,12,4395048,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,18 years,18,15,4357485,Unreliable
,Firearm,GRINJ-006,Undetermined ,4,19 years,19,11,4384615,Unreliable
,Firearm,GRINJ-006,Legal Intervention / Operations of War,5,17 years,17,11,4395048,Unreliable
,Other Pedestrian,GRINJ-010,Unintentional,1,1 year,1,11,3694222,Unreliable
,Other Pedestrian,GRINJ-010,Unintentional,1,2 years,2,13,3611883,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,11 years,11,17,4089809,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,12 years,12,13,4134024,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,13 years,13,17,4219014,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,15 years,15,16,4472392,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,16 years,16,16,4465940,Unreliable
