Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,29,1864508,1.6
,Poisoning,GRINJ-015,Unintentional,1,14 years,14,Male,M,34,2205676,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,7 years,7,Male,M,32,2082645,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,2 years,2,Female,F,27,1764724,1.5
,Suffocation,GRINJ-017,Unintentional,1,2 years,2,Male,M,28,1847159,1.5
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,Female,F,27,1784146,1.5
,Firearm,GRINJ-006,Homicide,3,15 years,15,Female,F,33,2181907,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,7 years,7,Female,F,30,1992913,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,11 years,11,Female,F,30,1996442,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,12 years,12,Female,F,30,2013129,1.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,10 years,10,Male,M,31,2086861,1.5
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,2 years,2,Male,M,27,1847159,1.5
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,Male,M,27,1864508,1.4
,Poisoning,GRINJ-015,Suicide,2,19 years,19,Female,F,31,2143573,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,6 years,6,Female,F,28,1940157,1.4
,Drowning,GRINJ-002,Unintentional,1,16 years,16,Male,M,33,2287751,1.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,8 years,8,Male,M,30,2099576,1.4
,Poisoning,GRINJ-015,Suicide,2,19 years,19,Male,M,32,2241042,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5 years,5,Male,M,28,1991400,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,6 years,6,Female,F,27,1940157,1.4
,Poisoning,GRINJ-015,Suicide,2,18 years,18,Male,M,31,2228634,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,4 years,4,Male,M,27,1944687,1.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,8 years,8,Male,M,29,2099576,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,18 years,18,Male,M,30,2228634,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,7 years,7,Male,M,28,2082645,1.3
,Drowning,GRINJ-002,Unintentional,1,< 1 year,0,Male,M,25,1864508,1.3
,Firearm,GRINJ-006,Suicide,2,16 years,16,Female,F,29,2178189,1.3
